question_E,query,question_VN
What are the different names for each station that has ever had 7 bikes available?,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,Các tên khác nhau cho mỗi trạm đã từng có 7 chiếc xe đạp?
Which start station had the most trips starting from August? Give me the name and id of the station.,"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",Trạm khởi động nào có nhiều chuyến đi bắt đầu từ tháng 8? Cho tôi tên và ID của nhà ga.
What are the start station's name and id for the one that had the most start trips in August?,"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",Tên và ID của Trạm khởi động cho một chuyến đi bắt đầu nhiều nhất trong tháng 8 là gì?
Which bike traveled the most often in zip code 94002?,SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,Xe đạp nào đi du lịch thường xuyên nhất trong mã zip 94002?
What is the id of the bike that traveled the most in 94002?,SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,ID của chiếc xe đạp đã đi được nhiều nhất trong 94002 là gì?
How many days had both mean humidity above 50 and mean visibility above 8?,SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,Có bao nhiêu ngày có cả độ ẩm trung bình trên 50 và khả năng hiển thị trung bình trên 8?
What is the number of days that had an average humity above 50 and an average visibility above 8?,SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,Số ngày có độ ẩm trung bình trên 50 và tầm nhìn trung bình trên 8 là bao nhiêu?
"What is the latitude, longitude, city of the station from which the shortest trip started?","SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1","Vĩ độ, kinh độ, thành phố của nhà ga mà chuyến đi ngắn nhất bắt đầu là gì?"
"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?","SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1","Vĩ độ, kinh độ và thành phố của nhà ga mà chuyến đi với thời gian nhỏ nhất bắt đầu là gì?"
What are the ids of stations that are located in San Francisco and have average bike availability above 10.,"SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10",ID của các trạm được đặt tại San Francisco là gì và có sẵn xe đạp trung bình trên 10.
What are the ids of the stations in San Francisco that normally have more than 10 bikes available?,"SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10",ID của các trạm ở San Francisco thường có hơn 10 xe đạp?
What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",Tên và ID của các trạm có trung bình hơn 14 chiếc xe đạp hoặc được cài đặt vào tháng 12?
What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",Tên và ID của tất cả các trạm có trung bình hơn 14 xe đạp hoặc đã được cài đặt xe đạp vào tháng 12?
What is the 3 most common cloud cover rates in the region of zip code 94107?,SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,3 tốc độ che phủ đám mây phổ biến nhất trong khu vực của mã ZIP 94107 là bao nhiêu?
What are the 3 most common cloud covers in the zip code of 94107?,SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,3 nắp đám mây phổ biến nhất trong mã zip của 94107 là gì?
What is the zip code in which the average mean sea level pressure is the lowest?,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,Mã zip trong đó áp lực mực nước biển trung bình là gì là thấp nhất?
What is the zip code that has the lowest average mean sea level pressure?,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,Mã zip có áp lực mực nước biển trung bình thấp nhất là gì?
What is the average bike availability in stations that are not located in Palo Alto?,"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")",Tính khả dụng của xe đạp trung bình trong các trạm không nằm ở Palo Alto là gì?
What is the average bike availablility for stations not in Palo Alto?,"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")",Tính khả dụng của xe đạp trung bình cho các trạm không ở Palo Alto là gì?
What is the average longitude of stations that never had bike availability more than 10?,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),Kinh độ trung bình của các trạm không bao giờ có sẵn xe đạp hơn 10 là gì?
What is the mean longitude for all stations that have never had more than 10 bikes available?,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),Kinh độ có nghĩa là gì cho tất cả các trạm chưa bao giờ có hơn 10 xe đạp?
When and in what zip code did max temperature reach 80?,"SELECT date ,  zip_code FROM weather WHERE max_temperature_f  >=  80",Khi nào và trong mã zip mà nhiệt độ tối đa đạt được 80?
What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?,"SELECT date ,  zip_code FROM weather WHERE max_temperature_f  >=  80",Mã zip nào có một trạm có nhiệt độ tối đa lớn hơn hoặc bằng 80 và khi nào nó đạt đến nhiệt độ đó?
Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code  =  T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f)  >  60,Cung cấp cho tôi ID cho tất cả các chuyến đi diễn ra trong khu vực mã zip với nhiệt độ trung bình trung bình trên 60.
"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?",SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code  =  T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f)  >  60,"Đối với mỗi mã zip, hãy tìm ID của tất cả các chuyến đi có nhiệt độ trung bình cao hơn trên 60?"
"For each zip code, return how many times max wind speed reached 25?","SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph  >=  25 GROUP BY zip_code","Đối với mỗi mã zip, hãy trả về tốc độ gió tối đa đạt được 25 lần?"
"For each zip code, how many times has the maximum wind speed reached 25 mph?","SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph  >=  25 GROUP BY zip_code","Đối với mỗi mã zip, tốc độ gió tối đa đạt 25 dặm / giờ bao nhiêu lần?"
On which day and in which zip code was the min dew point lower than any day in zip code 94107?,"SELECT date ,  zip_code FROM weather WHERE min_dew_point_f  <  (SELECT min(min_dew_point_f) FROM weather WHERE zip_code  =  94107)",Vào ngày nào và mã ZIP nào là điểm DEW thấp hơn bất kỳ ngày nào trong mã ZIP 94107?
"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?","SELECT date ,  zip_code FROM weather WHERE min_dew_point_f  <  (SELECT min(min_dew_point_f) FROM weather WHERE zip_code  =  94107)","Những ngày nào có điểm sương tối thiểu nhỏ hơn bất kỳ ngày nào trong mã ZIP 94107, và trong đó các mã đó được thực hiện trong mã ZIP nào?"
"For each trip, return its ending station's installation date.","SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id","Đối với mỗi chuyến đi, hãy trả lại ngày cài đặt của trạm kết thúc."
What is the installation date for each ending station on all the trips?,"SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id",Ngày cài đặt cho mỗi trạm kết thúc trên tất cả các chuyến đi là gì?
Which trip started from the station with the largest dock count? Give me the trip id.,SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id  =  T2.id ORDER BY T2.dock_count DESC LIMIT 1,Chuyến đi nào bắt đầu từ nhà ga với số lượng bến tàu lớn nhất? Cho tôi id chuyến đi.
What is the id of the trip that started from the station with the highest dock count?,SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id  =  T2.id ORDER BY T2.dock_count DESC LIMIT 1,ID của chuyến đi bắt đầu từ nhà ga với số lượng dock cao nhất là gì?
